store_id,dept_id,rmsse,params
CA_4,FOODS_2,0.48958489281539935,"{'changepoint_range': 1.0, 'changepoint_prior_scale': 0.3665670098337169, 'holidays_prior_scale': 3.758951353401841, 'seasonality_mode': 'multiplicative', 'yearly_order': 5, 'monthly_order': 12, 'weekly_order': 15, 'yearly_prior_scale': 0.40254925671534436, 'monthly_prior_scale': 1.1674973503084578, 'weekly_prior_scale': 0.8621340425780469, 'snap_mode': 'multiplicative', 'price_mode': 'additive', 'dom_mode': 'additive'}"
CA_4,FOODS_3,0.5802424109104649,"{'changepoint_range': 0.85, 'changepoint_prior_scale': 0.6447722278565008, 'holidays_prior_scale': 15.042121769339127, 'seasonality_mode': 'additive', 'yearly_order': 4, 'monthly_order': 9, 'weekly_order': 2, 'yearly_prior_scale': 0.2605412222716766, 'monthly_prior_scale': 0.886133548931835, 'weekly_prior_scale': 2.5832639926694183, 'snap_mode': 'additive', 'price_mode': 'additive', 'dom_mode': 'additive'}"
CA_4,HOBBIES_1,0.8770108386315819,"{'changepoint_range': 0.95, 'changepoint_prior_scale': 0.00419398555134309, 'holidays_prior_scale': 0.32391519988330836, 'seasonality_mode': 'multiplicative', 'yearly_order': 7, 'monthly_order': 11, 'weekly_order': 6, 'yearly_prior_scale': 0.9408450726544617, 'monthly_prior_scale': 13.094659186087423, 'weekly_prior_scale': 3.2201709098000464, 'snap_mode': 'additive', 'price_mode': 'additive', 'dom_mode': 'multiplicative'}"
CA_4,HOBBIES_2,0.747052702223418,"{'changepoint_range': 0.85, 'changepoint_prior_scale': 0.0025640780181882287, 'holidays_prior_scale': 0.5483669870194361, 'seasonality_mode': 'multiplicative', 'yearly_order': 11, 'monthly_order': 1, 'weekly_order': 6, 'yearly_prior_scale': 8.175406507439844, 'monthly_prior_scale': 0.7802919639644228, 'weekly_prior_scale': 0.17638680427759176, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'multiplicative'}"
CA_4,HOUSEHOLD_1,0.820090472989364,"{'changepoint_range': 0.95, 'changepoint_prior_scale': 0.1470841667537542, 'holidays_prior_scale': 0.3091230929611183, 'seasonality_mode': 'multiplicative', 'yearly_order': 1, 'monthly_order': 4, 'weekly_order': 16, 'yearly_prior_scale': 0.5663039118795068, 'monthly_prior_scale': 0.40869983485558004, 'weekly_prior_scale': 5.833814124604199, 'snap_mode': 'multiplicative', 'price_mode': 'additive', 'dom_mode': 'additive'}"
CA_4,HOUSEHOLD_2,0.6686551295549906,"{'changepoint_range': 0.95, 'changepoint_prior_scale': 0.328244871089513, 'holidays_prior_scale': 0.6175006259856324, 'seasonality_mode': 'multiplicative', 'yearly_order': 15, 'monthly_order': 3, 'weekly_order': 11, 'yearly_prior_scale': 3.836362542698761, 'monthly_prior_scale': 0.3340488549504999, 'weekly_prior_scale': 0.10379224987338381, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'multiplicative'}"
TX_1,FOODS_1,0.7673759138722582,"{'changepoint_range': 0.7, 'changepoint_prior_scale': 0.0012734627512490763, 'holidays_prior_scale': 3.78919587374484, 'seasonality_mode': 'multiplicative', 'yearly_order': 14, 'monthly_order': 9, 'weekly_order': 14, 'yearly_prior_scale': 5.963666212958204, 'monthly_prior_scale': 0.5324231493718252, 'weekly_prior_scale': 5.696391954010545, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'multiplicative'}"
TX_1,FOODS_2,0.4738211433244914,"{'changepoint_range': 0.8999999999999999, 'changepoint_prior_scale': 0.2614692513124634, 'holidays_prior_scale': 0.2015306812113877, 'seasonality_mode': 'additive', 'yearly_order': 10, 'monthly_order': 2, 'weekly_order': 1, 'yearly_prior_scale': 1.2017181740377223, 'monthly_prior_scale': 3.481519521635753, 'weekly_prior_scale': 9.525302299870518, 'snap_mode': 'multiplicative', 'price_mode': 'additive', 'dom_mode': 'multiplicative'}"
TX_1,FOODS_3,0.4670204786686323,"{'changepoint_range': 1.0, 'changepoint_prior_scale': 0.8442952316804062, 'holidays_prior_scale': 1.4476702251121667, 'seasonality_mode': 'additive', 'yearly_order': 7, 'monthly_order': 3, 'weekly_order': 17, 'yearly_prior_scale': 7.939112838057536, 'monthly_prior_scale': 0.24646690736649524, 'weekly_prior_scale': 12.204405747796041, 'snap_mode': 'additive', 'price_mode': 'additive', 'dom_mode': 'additive'}"
TX_1,HOBBIES_1,0.6544178112369515,"{'changepoint_range': 0.95, 'changepoint_prior_scale': 0.0016119939784752348, 'holidays_prior_scale': 11.94108615721497, 'seasonality_mode': 'multiplicative', 'yearly_order': 12, 'monthly_order': 6, 'weekly_order': 2, 'yearly_prior_scale': 4.493808458801785, 'monthly_prior_scale': 0.5936140193730219, 'weekly_prior_scale': 3.6904981252096487, 'snap_mode': 'additive', 'price_mode': 'multiplicative', 'dom_mode': 'additive'}"
TX_1,HOBBIES_2,0.9089989447697255,"{'changepoint_range': 0.7, 'changepoint_prior_scale': 0.014754187191544756, 'holidays_prior_scale': 0.9488751477388849, 'seasonality_mode': 'additive', 'yearly_order': 9, 'monthly_order': 13, 'weekly_order': 16, 'yearly_prior_scale': 0.768569760021128, 'monthly_prior_scale': 0.38536912351008334, 'weekly_prior_scale': 0.3475486211848458, 'snap_mode': 'additive', 'price_mode': 'additive', 'dom_mode': 'multiplicative'}"
